"工作編碼","工作項目","副選項"
"1","蟲害防治","人為捕捉"
"2","蟲害防治","生物機制"
"3","蟲害防治","蓋網"
"4","蟲害防治","藥物(化學or生物)"
"5","病害防治","化學藥物"
"6","病害防治","生物機制"
"7","病害防治","人為隔離"
"8","病蟲害發現","(見病蟲害項目)"
"9","土壤改良(種植前)","有機質"
"10","土壤改良(種植前)","土壤結構"
"11","土壤改良(種植前)","酸鹼值"
"12","土壤改良(種植前)","營養素(氮磷鉀鋁等)"
"13","整地(翻犁)",""
"14","作畦",""
"15","中耕",""
"16","鬆土",""
"17","育苗",""
"18","播種","灑播"
"19","播種","條播"
"20","播種","點播"
"21","扦插",""
"22","分株",""
"23","牽藤(整蔓)",""
"24","疏苗(間拔)",""
"25","定植(移植)",""
"26","補植(補秧)",""
"27","灌溉","淹灌"
"28","灌溉","溝灌"
"29","灌溉","澆灌"
"30","灌溉","滴灌"
"31","施肥",""
"32","培土",""
"33","雜草防除","物理(連根拔起)"
"34","雜草防除","物理(不連根拔起)"
"35","雜草防除","化學藥劑"
"36","整枝(蔓)修剪",""
"37","疏果",""
"38","套袋",""
"39","授粉","飼養授粉昆蟲"
"40","授粉","果實誘引"
"41","授粉","人工授粉"
"42","高接",""
"43","嫁接",""
"44","採收",""
"45","其他",""
"46","敷蓋","架設"
"47","敷蓋","移除"
"48","遮陰","架設"
"49","遮陰","移除"
"50","疏花",""
"51","去死叢",""
"52","防曬",""
"53","催花",""
"54","收鳳梨帽",""
"55","搭架(網)","架設"
"56","搭架(網)","移除"
