"工作編碼","工作項目","副選項","優先順序"
"1","蟲害防治","人為捕捉",""
"2","蟲害防治","生物機制",""
"3","蟲害防治","蓋網",""
"4","蟲害防治","藥物(化學or生物)",""
"5","病害防治","化學藥物",""
"6","病害防治","生物機制",""
"7","病害防治","人為隔離",""
"8","病蟲害發現","(見病蟲害項目)",""
"9","土壤改良(作物種植前)","有機質",""
"10","土壤改良(作物種植前)","土壤結構",""
"11","土壤改良(作物種植前)","酸鹼值",""
"12","土壤改良(作物種植前)","營養素(氮磷鉀鋁等)",""
"13","整地(翻犁)","",""
"14","作畦","",""
"15","中耕","",""
"16","鬆土","",""
"17","育苗","",""
"25","定植(移植)","",""
"29","定植(移植)","澆灌",""
"31","施肥","",""
"32","培土","",""
"33","雜草防除","物理(連根拔起)",""
"34","雜草防除","物理(不連根拔起)",""
"35","雜草防除","化學藥劑",""
"36","整枝(蔓)修剪","",""
"43","嫁接","",""
"44","採收","",""
"45","其他","",""
"50","疏花","",""
"51","去死叢","",""
